customerID,actual_churn_label,predicted_probability,risk_score_0_100,risk_band,predicted_label_threshold_0_50,selected_model_name,dataset_partition,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,monthly_charge_band,total_charge_band,service_count,support_services_count,streaming_services_count,has_fiber_optic,is_month_to_month,uses_electronic_check,is_senior_citizen_flag,top_risk_driver_1,top_risk_driver_2,risk_driver_summary_short
9763-GRSKD,No,0.4027,40,Moderate,0,Random Forest,train,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,13-24 months,Moderate,Moderate Lifetime Value,3,1,0,No,Yes,No,No,Month-to-month contract,No tech support,Associated with month-to-month contract.
7469-LKBCI,No,0.0374,4,Low,0,Random Forest,train,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,13-24 months,Low,Low Lifetime Value,1,0,0,No,No,No,No,No online security,No tech support,No single dominant cue; review full customer profile.
8091-TTVAX,No,0.4083,41,Moderate,0,Random Forest,train,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,49+ months,Very High,Very High Lifetime Value,6,1,2,Yes,No,No,No,Fiber optic service,Higher monthly charges,Associated with fiber optic service and higher monthly charges.
0280-XJGEX,Yes,0.6601,66,High,1,Random Forest,train,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,49+ months,Very High,Very High Lifetime Value,7,2,2,Yes,Yes,No,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
5129-JLPIS,No,0.6571,66,High,1,Random Forest,test,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,25-48 months,Very High,High Lifetime Value,7,3,2,Yes,Yes,Yes,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
3655-SNQYZ,No,0.1259,13,Low,0,Random Forest,train,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,49+ months,Very High,Very High Lifetime Value,9,4,2,Yes,No,No,No,Fiber optic service,Higher monthly charges,Associated with fiber optic service and higher monthly charges.
8191-XWSZG,No,0.0416,4,Low,0,Random Forest,train,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,49+ months,Low,Moderate Lifetime Value,1,0,0,No,No,No,No,No online security,No tech support,No single dominant cue; review full customer profile.
9959-WOFKT,No,0.2284,23,Low,0,Random Forest,train,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,49+ months,Very High,Very High Lifetime Value,7,2,2,Yes,No,No,No,Fiber optic service,Higher monthly charges,Associated with fiber optic service and higher monthly charges.
4190-MFLUW,Yes,0.4447,44,Moderate,0,Random Forest,test,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,0-12 months,Moderate,Moderate Lifetime Value,4,2,0,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4183-MYFRB,No,0.7197,72,High,1,Random Forest,train,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,13-24 months,High,High Lifetime Value,5,2,1,Yes,Yes,Yes,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
8779-QRDMV,Yes,0.8535,85,Critical,1,Random Forest,train,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,0-12 months,Moderate,Low Lifetime Value,3,1,1,No,Yes,Yes,Yes,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1680-VDCWW,No,0.0774,8,Low,0,Random Forest,train,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0-12 months,Low,Low Lifetime Value,1,0,0,No,No,No,No,Short tenure,No online security,Associated with short tenure.
1066-JKSGK,Yes,0.6264,63,High,1,Random Forest,test,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,0-12 months,Low,Low Lifetime Value,1,0,0,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3638-WEABW,No,0.0369,4,Low,0,Random Forest,train,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,49+ months,Moderate,Very High Lifetime Value,5,2,0,No,No,No,No,No online security,Paperless billing,Associated with paperless billing.
6322-HRPFA,No,0.223,22,Low,0,Random Forest,test,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,49+ months,Moderate,High Lifetime Value,5,3,0,No,Yes,No,No,Month-to-month contract,No secondary cue,Associated with month-to-month contract.
6865-JZNKO,No,0.3093,31,Moderate,0,Random Forest,train,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,25-48 months,Moderate,High Lifetime Value,4,2,0,No,Yes,No,No,Month-to-month contract,No tech support,Associated with month-to-month contract.
6467-CHFZW,Yes,0.7393,74,High,1,Random Forest,train,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,25-48 months,High,Very High Lifetime Value,6,1,2,Yes,Yes,Yes,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
8665-UTDHZ,Yes,0.7759,78,High,1,Random Forest,train,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,0-12 months,Low,Low Lifetime Value,2,1,0,No,Yes,Yes,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5248-YGIJN,No,0.0185,2,Low,0,Random Forest,train,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,49+ months,High,Very High Lifetime Value,9,4,2,No,No,No,No,Higher monthly charges,Paperless billing,Associated with higher monthly charges and paperless billing.
8773-HHUOZ,Yes,0.4083,41,Moderate,0,Random Forest,train,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,13-24 months,Moderate,Moderate Lifetime Value,4,0,2,No,Yes,No,No,Month-to-month contract,No online security,Associated with month-to-month contract.
3841-NFECX,No,0.0667,7,Low,0,Random Forest,train,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,49+ months,High,Very High Lifetime Value,7,4,0,Yes,No,No,Yes,Fiber optic service,Higher monthly charges,Associated with fiber optic service and higher monthly charges.
4929-XIHVW,No,0.8766,88,Critical,1,Random Forest,train,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0-12 months,High,Low Lifetime Value,5,1,2,Yes,Yes,No,Yes,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6827-IEAUQ,No,0.1226,12,Low,0,Random Forest,train,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,25-48 months,Moderate,High Lifetime Value,6,4,0,No,No,No,No,No prominent cue,No secondary cue,No single dominant cue; review full customer profile.
7310-EGVHZ,No,0.6089,61,High,1,Random Forest,train,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0-12 months,Low,Low Lifetime Value,1,0,0,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3413-BMNZE,No,0.7803,78,High,1,Random Forest,train,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0-12 months,Moderate,Low Lifetime Value,2,0,0,No,Yes,No,Yes,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6234-RAAPL,No,0.055,6,Low,0,Random Forest,train,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,49+ months,High,Very High Lifetime Value,7,3,1,Yes,No,No,No,Fiber optic service,Higher monthly charges,Associated with fiber optic service and higher monthly charges.
6047-YHPVI,Yes,0.7579,76,High,1,Random Forest,test,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,0-12 months,Moderate,Low Lifetime Value,2,0,0,Yes,Yes,Yes,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
6572-ADKRS,No,0.5589,56,Moderate,1,Random Forest,train,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,25-48 months,High,Very High Lifetime Value,3,1,0,Yes,Yes,No,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
5380-WJKOV,Yes,0.75,75,High,1,Random Forest,test,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,25-48 months,Very High,Very High Lifetime Value,7,2,2,Yes,Yes,Yes,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
8168-UQWWF,Yes,0.8525,85,Critical,1,Random Forest,train,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,0-12 months,High,Moderate Lifetime Value,6,1,2,Yes,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8865-TNMNX,No,0.2518,25,Low,0,Random Forest,train,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0-12 months,Moderate,Low Lifetime Value,3,1,0,No,No,No,No,Short tenure,No online security,Associated with short tenure.
9489-DEDVP,No,0.0359,4,Low,0,Random Forest,train,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,49+ months,Moderate,Very High Lifetime Value,6,2,1,No,No,No,No,No tech support,Paperless billing,Associated with paperless billing.
9867-JCZSP,No,0.0494,5,Low,0,Random Forest,train,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,13-24 months,Low,Low Lifetime Value,1,0,0,No,No,No,No,No online security,No tech support,No single dominant cue; review full customer profile.
4671-VJLCL,No,0.0438,4,Low,0,Random Forest,train,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,49+ months,High,Very High Lifetime Value,8,4,1,No,No,No,No,Paperless billing,No dependents,Associated with paperless billing.
4080-IIARD,No,0.3549,35,Moderate,0,Random Forest,train,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,13-24 months,High,Moderate Lifetime Value,7,3,1,No,Yes,Yes,No,Month-to-month contract,Electronic check payment,Associated with month-to-month contract and electronic check payment.
3714-NTNFO,No,0.6891,69,High,1,Random Forest,train,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,49+ months,High,Very High Lifetime Value,4,0,1,Yes,Yes,Yes,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
5948-UJZLF,No,0.7244,72,High,1,Random Forest,train,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0-12 months,Moderate,Low Lifetime Value,3,1,0,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7760-OYPDY,Yes,0.8681,87,Critical,1,Random Forest,train,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,0-12 months,High,Low Lifetime Value,3,0,1,Yes,Yes,Yes,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7639-LIAYI,No,0.0388,4,Low,0,Random Forest,train,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,49+ months,High,Very High Lifetime Value,7,2,2,No,No,No,No,Paperless billing,No dependents,Associated with paperless billing.
2954-PIBKO,No,0.0396,4,Low,0,Random Forest,test,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,49+ months,Moderate,Very High Lifetime Value,6,3,0,No,No,No,No,Paperless billing,No secondary cue,Associated with paperless billing.
8012-SOUDQ,No,0.707,71,High,1,Random Forest,train,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,25-48 months,High,Very High Lifetime Value,5,1,1,Yes,Yes,Yes,Yes,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
9420-LOJKX,Yes,0.7952,80,Critical,1,Random Forest,train,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,13-24 months,High,Moderate Lifetime Value,6,2,2,Yes,Yes,No,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
6575-SUVOI,No,0.2917,29,Low,0,Random Forest,train,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,25-48 months,Moderate,High Lifetime Value,6,2,1,No,Yes,No,Yes,Month-to-month contract,Paperless billing,Associated with month-to-month contract and paperless billing.
7495-OOKFY,Yes,0.8449,84,Critical,1,Random Forest,test,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,0-12 months,High,Moderate Lifetime Value,4,1,0,Yes,Yes,No,Yes,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
4667-QONEA,No,0.1837,18,Low,0,Random Forest,train,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,49+ months,High,Very High Lifetime Value,7,4,1,No,No,No,Yes,Paperless billing,No secondary cue,Associated with paperless billing.
1658-BYGOY,Yes,0.7741,77,High,1,Random Forest,train,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,13-24 months,High,High Lifetime Value,5,0,2,Yes,Yes,Yes,Yes,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
8769-KKTPH,No,0.309,31,Moderate,0,Random Forest,train,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,49+ months,High,Very High Lifetime Value,6,1,2,Yes,No,No,No,Fiber optic service,Higher monthly charges,Associated with fiber optic service and higher monthly charges.
5067-XJQFU,No,0.4002,40,Moderate,0,Random Forest,train,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,49+ months,Very High,Very High Lifetime Value,8,3,2,Yes,No,Yes,Yes,Fiber optic service,Electronic check payment,Associated with fiber optic service and electronic check payment.
3957-SQXML,No,0.0278,3,Low,0,Random Forest,train,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,25-48 months,Low,Moderate Lifetime Value,2,0,0,No,No,No,No,No online security,No tech support,No single dominant cue; review full customer profile.
5954-BDFSG,No,0.1119,11,Low,0,Random Forest,train,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,49+ months,Very High,Very High Lifetime Value,7,2,2,Yes,No,No,No,Fiber optic service,Higher monthly charges,Associated with fiber optic service and higher monthly charges.
0434-CSFON,No,0.738,74,High,1,Random Forest,train,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,25-48 months,Very High,Very High Lifetime Value,6,1,2,Yes,Yes,Yes,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
1215-FIGMP,No,0.4714,47,Moderate,0,Random Forest,train,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,49+ months,High,Very High Lifetime Value,5,1,1,Yes,Yes,No,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
0526-SXDJP,No,0.0287,3,Low,0,Random Forest,train,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,49+ months,Moderate,High Lifetime Value,4,3,0,No,No,No,No,No tech support,No dependents,No single dominant cue; review full customer profile.
0557-ASKVU,No,0.2388,24,Low,0,Random Forest,train,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,13-24 months,Moderate,Moderate Lifetime Value,4,2,0,No,No,No,No,No online security,Paperless billing,Associated with paperless billing.
5698-BQJOH,Yes,0.8539,85,Critical,1,Random Forest,test,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,0-12 months,High,Moderate Lifetime Value,5,0,2,Yes,Yes,Yes,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5122-CYFXA,No,0.5281,53,Moderate,1,Random Forest,train,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0-12 months,High,Low Lifetime Value,6,2,2,No,Yes,Yes,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8627-ZYGSZ,No,0.2278,23,Low,0,Random Forest,train,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,25-48 months,High,Very High Lifetime Value,4,1,0,Yes,No,Yes,No,Fiber optic service,Electronic check payment,Associated with fiber optic service and electronic check payment.
3410-YOQBQ,No,0.0695,7,Low,0,Random Forest,train,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,25-48 months,High,High Lifetime Value,7,3,2,No,No,No,No,No online security,No dependents,No single dominant cue; review full customer profile.
3170-NMYVV,No,0.0186,2,Low,0,Random Forest,train,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,49+ months,Low,Moderate Lifetime Value,1,0,0,No,No,No,No,No online security,No tech support,No single dominant cue; review full customer profile.
7410-OIEDU,No,0.6697,67,High,1,Random Forest,train,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0-12 months,High,Moderate Lifetime Value,4,2,0,Yes,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2273-QCKXA,No,0.6866,69,High,1,Random Forest,train,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0-12 months,Moderate,Low Lifetime Value,3,1,0,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0731-EBJQB,No,0.0938,9,Low,0,Random Forest,train,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,49+ months,Low,Moderate Lifetime Value,1,0,0,No,No,Yes,No,Electronic check payment,No online security,Associated with electronic check payment.
1891-QRQSA,No,0.2888,29,Low,0,Random Forest,train,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,49+ months,Very High,Very High Lifetime Value,8,3,2,Yes,No,No,Yes,Fiber optic service,Higher monthly charges,Associated with fiber optic service and higher monthly charges.
8028-PNXHQ,No,0.0148,1,Low,0,Random Forest,test,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,49+ months,Low,Moderate Lifetime Value,2,0,0,No,No,No,No,No online security,No tech support,No single dominant cue; review full customer profile.
5630-AHZIL,No,0.5177,52,Moderate,1,Random Forest,test,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0-12 months,Moderate,Low Lifetime Value,5,2,1,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
2673-CXQEU,No,0.5039,50,Moderate,1,Random Forest,train,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,49+ months,Very High,Very High Lifetime Value,8,3,2,Yes,No,Yes,Yes,Fiber optic service,Electronic check payment,Associated with fiber optic service and electronic check payment.
6416-JNVRK,No,0.2154,22,Low,0,Random Forest,train,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,25-48 months,Moderate,High Lifetime Value,3,0,1,No,No,No,No,No online security,No tech support,No single dominant cue; review full customer profile.
5590-ZSKRV,No,0.3561,36,Moderate,0,Random Forest,train,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0-12 months,Moderate,Low Lifetime Value,4,2,0,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0191-ZHSKZ,No,0.3095,31,Moderate,0,Random Forest,train,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,25-48 months,High,High Lifetime Value,6,2,2,No,Yes,Yes,Yes,Month-to-month contract,Electronic check payment,Associated with month-to-month contract and electronic check payment.
